Entry	Gene names  (primary )	Cross-reference (STRING)
P53332	CAB4	4932.YGR277C;
P00330	ADH1	4932.YOL086C;
Q7LHD1	CCW22	
P40986	CDC1	4932.YDR182W;
P04821	CDC25	4932.YLR310C;
P38090	AGP2	4932.YBR132C;
P81451	ATP19	4932.YOL077W-A;
Q3E7A9	CMC4	4932.YMR194C-B;
P53933	APP1	4932.YNL094W;
Q07560	CRD1	4932.YDL142C;
Q05029	BCH1	4932.YMR237W;
P36152	DRE2	4932.YKR071C;
P40087	DDI1	4932.YER143W;
P32771	SFA1	4932.YDL168W;
P40546	FAF1	4932.YIL019W;
P53917	FAR11	4932.YNL127W;
Q06001	FAR10	4932.YLR238W;
P40566	EGH1	4932.YIR007W;
P32916	SRP101	4932.YDR292C;
P53599	SSK2	4932.YNR031C;
P22470	SAN1	4932.YDR143C;
P46654	RPS0B	4932.YLR048W;
P11075	SEC7	4932.YDR170C;
P32844	SEC6	4932.YIL068C;
Q04007	SND1	4932.YDR186C;
P40496	RSM25	4932.YIL093C;
P38968	SEC31	4932.YDL195W;
P38985	SRP14	4932.YDL092W;
P36048	SNU114	4932.YKL173W;
P53044	UFD1	4932.YGR048W;
Q03897	MTC5	4932.YDR128W;
P12688	YPK1	4932.YKL126W;
Q12303	YPS3	4932.YLR121C;
Q6B0W0		4932.YPR039W;
P53057	YPS5	4932.YGL259W;
P51996	YPT32	4932.YGL210W;
Q3E782		
Q6B0Y5		
Q03231		4932.YMR181C;
Q03207		4932.YML122C;
P32610	VMA8	4932.YEL051W;
P42840		4932.YNL320W;
P53750		4932.YNR064C;
P23968	VMA16	4932.YHR026W;
Q08411		4932.YOR041C;
P0C5R6		
P31111	ZIP1	4932.YDR285W;
Q12042		4932.YPL162C;
Q99401		4932.YPL238C;
Q03308	VPS16	4932.YPL045W;
O13549	VPS63	4932.YLR261C;
Q03944	VPS64	4932.YDR200C;
Q06385	VPS74	4932.YDR372C;
P38688	SRP72	4932.YPL210C;
P38163	SRO77	4932.YBL106C;
P18480	SNF5	4932.YBR289W;
Q07381	TSR1	4932.YDL060W;
P0CX37	RPS6A	4932.YPL090C;
Q12443	RTN2	4932.YDL204W;
P38116	ARL1	4932.YBR164C;
P36064	CMC1	4932.YKL137W;
P25300	BUD5	4932.YCR038C;
P47818	CCC1	4932.YLR220W;
P26449	BUB3	4932.YOR026W;
Q04347	BUD22	4932.YMR014W;
Q2V2Q1	ADF1	4932.YCL058W-A;
P38872	PFS1	4932.YHR185C;
P14724	CDC26	4932.YFR036W;
P32562	CDC5	4932.YMR001C;
P13711	POX1	4932.YGL205W;
P32453	ATP11	4932.YNL315C;
P00890	CIT1	4932.YNR001C;
P53630	BIO4	4932.YNR057C;
P48562	CLA4	4932.YNL298W;
P53865	CNM67	4932.YNL225C;
P47096	BNA1	4932.YJR025C;
Q02336	ADA2	4932.YDR448W;
Q01802	AAT1	4932.YKL106W;
Q02486	ABF2	4932.YMR072W;
P35195	ECM15	4932.YBL001C;
Q08949	DDC1	4932.YPL194W;
Q12497	FMP16	4932.YDR070C;
Q03071	ELC1	4932.YPL046C;
Q02908	ELP3	4932.YPL086C;
Q12099	FAL1	4932.YDR021W;
P53971	FAP1	4932.YNL023C;
P42837	FIG4	4932.YNL325C;
P41813	FKH2	4932.YNL068C;
P38993	FET3	4932.YMR058W;
P53743	ESF2	4932.YNR054C;
Q03096	EST3	4932.YIL009C-A;
P42940	CIR1	4932.YGR207C;
P39958	GDI1	4932.YER136W;
P32614	FRD1	4932.YEL047C;
P32791	FRE1	4932.YLR214W;
P39722	GEM1	4932.YAL048C;
P11655	SEC12	4932.YNR026C;
P07560	SEC4	4932.YFL005W;
P47821	SSN8	4932.YNL025C;
P25357	SNT1	4932.YCR033W;
Q12100	RTK1	4932.YDL025C;
P39547	UIP3	4932.YAR027W;
Q08428		4932.YOR053W;
Q12531		4932.YPR015C;
